surface,pipeline,stage,component,component_type,source_path,role,enable_or_gate,input,output_type,max_or_quota,ordering_or_spacing,dedup_or_filter_behavior,failure_behavior,external_dependency,runtime_config_boundary,downstream_pass,evidence_class,notes
ForYou,ForYouCandidatePipeline,ads source,AdsSource,source,home-mixer/sources/ads_source.rs,fetches eligible ads from the external ad-index service; no local re-ranking,gated on EnableAdsSource param AND !query.is_preview,ScoredPostsQuery (ClientContext + DSP context),Vec<FeedItem> (Ad variant),bounded entirely by the external ad service's response,ad order/ranking as returned by ad_index_client is passed through unchanged; BlenderSelector's chosen AdsBlender determines final position,n/a,source error -> zero ads for that request (framework-level isolation),AdIndexClient / external ad_index service,EnableAdsSource + is_preview check,S02,DIRECT,ProductSurface differs by RequestType (RankedFollowing/Following/default-Ranking) -- mirrors AdsInjectionLoggingSideEffect's mapping
ForYou,ForYouCandidatePipeline,post-selection filter,AdAdjacentServedFilter,filter,home-mixer/filters/ad_adjacent_served_filter.rs,repairs ad-adjacent-to-previously-served-post violations by swapping in an eligible neighbor; drops the ad only if no swap exists,gated on EnableAdAdjacentServedFilter param AND !is_bottom_request AND RequestContext not in denylist (PullToRefresh/Launch/Signup/ForegroundTruncate/Gap),selected FeedItem list (post+ad mix),"FilterResult{kept,removed}",n/a,near-side-then-far-side outward search from each violating ad,never drops an organic post (S02-F007); falls back to dropping only the ad,no fallibility at Filter trait level,none,EnableAdAdjacentServedFilter + RequestContext denylist,S02,DIRECT,positions renumbered only if insert_count>0 or removed non-empty
Following,FollowingCandidatePipeline,pre-selection filter,InvalidConversationModuleFilter,filter,home-mixer/filters/invalid_conversation_module_filter.rs,collapses each reply thread to one focal (deepest) reply plus its ancestors; drops shallower replies and retweets of dropped roots,unconditional (no enable() override),unranked FeedItem list from ReverseChronPostsSource + ads/WTF/prompts,"FilterResult{kept,removed}",n/a,"n/a (grouping by ancestor-min root id, not spacing)",delegates entirely to util::conversation_grouping::select_conversation_modules,no fallibility,none,checked-in,S02,DIRECT,name implies invalidity-removal; actual behavior is thread-collapse-to-one-representative (S02-F010)
Following,FollowingCandidatePipeline,selector,FollowingBlenderSelector,selector,home-mixer/selectors/following_blender_selector.rs,blends posts+ads via FollowingAdBlender then conditionally inserts prompts/WTF,always runs (pipeline's sole selector),FeedItem list (post/ad/wtf/prompt only -- no PTH/frame/survey sources on this pipeline),"SelectResult{selected,non_selected}",FOLLOWING_MAX_RESULT_SIZE=100 passed as blender result_size,insert_prompts always; insert_who_to_follow only if input_post_count > FOLLOWING_WHO_TO_FOLLOW_MIN_POSTS(10),no dedup at selector level,no fallibility at Selector trait level,none,checked-in FOLLOWING_WHO_TO_FOLLOW_MIN_POSTS threshold,S02,DIRECT,distinct selector type from BlenderSelector -- Following surface never receives PTH/frames/survey content
Following,FollowingCandidatePipeline,ad blending,FollowingAdBlender,ads blender,home-mixer/ads/following_ad_blender.rs,places ads only between whole conversation units (reply threads treated as atomic),always the blender for this surface (not param-selected),posts partitioned into units by same_conversation_unit,Vec<FeedItem>,result_size passed by caller (FOLLOWING_MAX_RESULT_SIZE=100); spacing measured in units not posts,unit-level BSR-low/handle/keyword checks (S02-F012); ad only placed after a unit's last post,n/a,never places an ad inside a reply-thread unit; drops ads with no eligible unit boundary,none,checked-in,S02,DIRECT,structurally distinct from all 3 For-You-family blenders
Following,ReverseChronPostsPipeline,pre-selection filter,FollowingRetweetDeduplicationFilter,filter,home-mixer/filters/following_retweet_deduplication_filter.rs,keeps native tweets over retweets of the same source; drops later duplicate retweets,unconditional,PostCandidate list,"FilterResult{kept,removed}",n/a,order-dependent among retweets sharing a source (first-seen wins),native tweets always kept; retweet dropped if its own id or its source id already seen,no fallibility,none,checked-in,S02,DIRECT,distinct algorithm from the general-purpose RetweetDeduplicationFilter used on PhoenixCandidatePipeline
Following,ReverseChronPostsPipeline,pre-selection filter,SelfReplyChainFilter,filter,home-mixer/filters/self_reply_chain_filter.rs,drops self-reply-chain candidates whose effective directed-at user is not followed/viewer,unconditional,PostCandidate list,"FilterResult{kept,removed}",n/a,n/a,"keeps if not a reply, or ancestor_users empty, or author_id==0, or first non-self ancestor is followed/viewer; else drops",no fallibility,none,checked-in,S02,DIRECT,name implies self-reply scope only; predicate is about the reply chain's effective addressee
RankedFollowing,RankedFollowingCandidatePipeline,selector,BlenderSelector (reused from ForYou),selector,home-mixer/selectors/blender_selector.rs,"identical selector to ForYou; degrades to pure posts+ads blend since sources=[ScoredPostsSource,AdsSource] only",always runs,FeedItem list (post+ad only for this surface),"SelectResult{selected,non_selected}",RANKED_FOLLOWING_MAX_RESULT_SIZE=38 truncation at pipeline level,insert_prompts/insert_who_to_follow/pin_push_to_home/insert_frames/insert_feed_survey are all no-ops (empty buckets),n/a,no fallibility,none,checked-in,S02,DIRECT,S02-F011: mechanism-level confirmation of Ranked Following == Phoenix-ranked posts + ads
PhoenixScores,PhoenixScoresPipeline,post-selection filter,ResultSizeFilter,filter,home-mixer/filters/result_size_filter.rs,truncates scored seed-candidate results to a param-controlled limit,unconditional (no enable() override),"PostCandidate list (already scored, from caller-supplied seed_candidate_post_ids)","FilterResult{kept,removed}",limit = query.params.get(PhoenixScoresResultSize),"simple split_off truncation, no reordering",candidates beyond the limit go to removed (not returned in response),no fallibility,none,PhoenixScoresResultSize param,S02,DIRECT,"operates on a debug/programmatic endpoint (PhoenixScoresService), not a normal feed surface"
All (framework-wide),n/a,post-selection filter,PreviouslySeenPostsBackupFilter,filter,home-mixer/filters/previously_seen_posts_backup_filter.rs,intended second-record seen-post dedup; confirmed permanent no-op in this snapshot,unconditional (no enable() override) but its sole data dependency is always empty,PostCandidate list,"FilterResult{kept,removed}",n/a,n/a,early-returns kept=all whenever query.impressed_post_ids is empty (always true per S01-F001),no fallibility,none,checked-in,S02,DIRECT,S02-F014: carry-forward of S01-F001; two other active seen/served mechanisms exist alongside this dead one
All (ForYou path),PhoenixCandidatePipeline,pre-scoring filter,PreviouslySeenPostsFilter,filter,home-mixer/filters/previously_seen_posts_filter.rs,active same-request seen-post suppression using client-supplied seen_ids + bloom filters,unconditional,PostCandidate list,"FilterResult{kept,removed}",n/a,n/a,removes candidate if tweet_id/retweeted_tweet_id/in_reply_to_tweet_id is in query.seen_ids or matches any bloom filter entry,no fallibility,none,checked-in,S02,DIRECT,seen_ids populated directly from client-supplied proto_query.seen_ids (server.rs L116) -- not a query-hydrator output
All (ForYou path),PhoenixCandidatePipeline,pre-scoring filter,PreviouslyServedPostsFilter,filter,home-mixer/filters/previously_served_posts_filter.rs,active cross-request served-post suppression using server-persisted served_history,gated on EnableServedFilterAllRequests param OR (is_bottom_request AND request_context != ForegroundTruncate),PostCandidate list,"FilterResult{kept,removed}",n/a,n/a,removes candidate if tweet_id/retweeted_tweet_id/in_reply_to_tweet_id is in query.served_ids,no fallibility,none,EnableServedFilterAllRequests + is_bottom_request gate,S02,DIRECT,served_ids populated by UpdateServedHistorySideEffect writes from prior responses -- primarily a pagination/scroll-down mechanism
All (ForYou path),PhoenixCandidatePipeline,pre-scoring filter,PopularTopicsAuthorDedupFilter,filter,home-mixer/filters/popular_topics_author_dedup_filter.rs,intended one-per-author dedup for Popular Topics candidates; dormant (module-tree absent per S01-F002; predicate also never matches given source absence),not declared in filters/mod.rs -- not part of the compiled crate,n/a (unreachable),n/a,n/a,n/a,"predicate only matches ServedType::ForYouPopularTopics, which no compiled source produces",n/a,none,checked-in,S02,DIRECT,double-dormant: same module-tree absence as S01-F002 plus a predicate that structurally cannot fire even if restored without PopularTopicsSource
