path,specialist_pass,review_treatment,review_result,role,material_symbols_or_sections,active_callers_or_registration,feed_surface,config_or_reachability,failure_or_fallback,supporting_files_examined,open_questions,notes
home-mixer/ads/tests/time_gap_blender_tests.rs,S02,TEST_EVIDENCE,TRIAGED,test suite exercising the corresponding ads blender's behavior,#[test] cases,"cfg(test) only, not part of production binary",ForYou;RankedFollowing;Following,n/a,n/a,corresponding blender implementation file (read directly and in full; this test file's assertions were not independently re-verified line-by-line),,"not independently opened as a separate file this pass; production behavior was established by reading the implementation directly (methodology invariant: tests support, don't replace, implementation evidence)"
home-mixer/ads/tests/mod.rs,S02,TEST_EVIDENCE,TRIAGED,test module declarations only,mod declarations,cfg(test),ForYou;RankedFollowing;Following,n/a,n/a,,,trivial module-wiring file
home-mixer/candidate_hydrators/bidirectional_follow_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,hydrates author_follows_viewer / is_mutual_follow_author on PostCandidate via SocialGraphClient,BidirectionalFollowHydrator::enable/hydrate/update,"constructed in PhoenixCandidatePipeline::build_with_clients (S01-primary construction site, not re-verified here)",ForYou (via wrapped PhoenixCandidatePipeline),gated on EnableBidirectionalFollowHydration param AND !has_cached_posts,socialgraph_client.check_followed_by error propagates as Err for every candidate in that batch (framework silently absorbs per S01-F004),,,already substantially covered by S01 as part of orchestration (S00-F006/F007/S01-F004 carry-forward); S02 read confirms filter/dedup-relevant fields only
home-mixer/candidate_hydrators/blocked_by_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"hydrates author_blocks_viewer on PostCandidate via SocialGraphClient, consumed by AuthorSocialgraphFilter",BlockedByHydrator::enable/hydrate/update,constructed in PhoenixCandidatePipeline (S01-primary construction site),ForYou,gated on !has_cached_posts (unconditional otherwise),socialgraph_client.check_blocked_by error propagates as Err for every candidate in that batch,home-mixer/filters/author_socialgraph_filter.rs,,direct upstream data dependency for AuthorSocialgraphFilter's author_blocks_viewer check
home-mixer/candidate_hydrators/following_replied_users_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,attaches up to 3 in-network replier user IDs (facepile) to root-tweet candidates with a large-enough follower base,FollowingRepliedUsersHydrator::enable/hydrate; build_reply_author_map,constructed in PhoenixCandidatePipeline post_selection_hydrators (confirmed at phoenix_candidate_pipeline.rs L419),ForYou,gated on viewer follower_count>=1000 AND EnableFollowingRepliedUsersFacepile param,no external client call in this file itself; reads query.in_network_replies (pre-hydrated elsewhere),,,"post-selection hydrator (runs on top-K only), not a pre-scoring candidate hydrator despite living in candidate_hydrators/"
home-mixer/candidate_hydrators/mutual_follow_jaccard_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,computes mutual-follow Jaccard similarity between viewer and candidate author via minhash comparison,MutualFollowJaccardHydrator::enable/hydrate/update; jaccard_from_minhash,constructed in PhoenixCandidatePipeline post_selection_hydrators (confirmed at phoenix_candidate_pipeline.rs L420-422),ForYou,gated on EnableMutualFollowJaccardHydration param AND query.viewer_minhash.is_some(),per-author invalid-minhash-length -> Err for that candidate only; missing minhash -> None (not an error),home-mixer/query_hydrators/mutual_follow_query_hydrator.rs,,"viewer_minhash is populated by MutualFollowQueryHydrator (also S02-tagged, reviewed below); shares the same enable() param"
home-mixer/candidate_pipeline/for_you_candidate_pipeline.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"constructs the independent ForYouCandidatePipeline: 2 query hydrators, 7 sources (ScoredPosts/Ads/WTF/Prompts/PushToHome/JetfuelFrame/FeedSurvey), 1 pre-selection filter (PushToHomeDedupFilter), BlenderSelector, 1 post-selection filter (AdAdjacentServedFilter), 9 side effects",ForYouCandidatePipeline::build/new/mock; CandidatePipeline trait impl (query_hydrators/sources/filters/selector/post_selection_filters/side_effects/result_size),constructed by home-mixer/server.rs's HomeMixerServer::build (S01-primary),ForYou,"n/a (pipeline definition, not itself gated)","all client constructors use .expect() (boot-time fail-hard, consistent with S01-F013)",,,central file for this pass's central question; source list order and filter placement directly cited throughout the report
home-mixer/filters/mod.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,module declarations for all 29 filter files,pub mod declarations,n/a,all,n/a,n/a,,,confirms popular_topics_author_dedup_filter.rs has NO mod declaration here -- module-tree absent (S01-F002 corroboration)
home-mixer/filters/ad_adjacent_served_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,post-selection filter: repairs ad-adjacent-to-served-post violations via neighbor swap; drops ad only as last resort,AdAdjacentServedFilter::enable/filter; first_served_adjacency; find_swap_in_candidate; insert_eligible_neighbour; classify_swap_failure,ForYouCandidatePipeline::post_selection_filters (confirmed at for_you_candidate_pipeline.rs L234),ForYou,gated on EnableAdAdjacentServedFilter param AND !is_bottom_request AND RequestContext denylist,never drops organic; falls back to dropping the ad only,home-mixer/ads/util.rs (should_drop_bsr_low/should_drop_handle/should_drop_keyword reused),,S02-F007: name undersells primary repair/reorder behavior
home-mixer/filters/age_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops candidates older than a configured max_age (constructed with MAX_POST_AGE=48h),AgeFilter::filter; is_within_age,PhoenixCandidatePipeline::filters (L348),ForYou,unconditional (no enable() override); max_age fixed at construction,n/a (pure predicate),,,
home-mixer/filters/ancillary_vf_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,post-selection filter: drops candidates flagged drop_ancillary_posts by upstream VF hydration,AncillaryVFFilter::filter,PhoenixCandidatePipeline::post_selection_filters (L430),ForYou,unconditional,n/a,,,VF hydration/labeling internals are S14 territory; this file only consumes the resulting boolean flag
home-mixer/filters/author_socialgraph_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: drops candidates whose author is blocked/muted by viewer, or who block the viewer, or whose quoted/retweeted author is blocked",AuthorSocialgraphFilter::filter,PhoenixCandidatePipeline::filters (L358),ForYou,unconditional,n/a,home-mixer/candidate_hydrators/blocked_by_hydrator.rs,,6-way OR predicate covering author/quoted-author/retweeted-user block+mute combinations
home-mixer/filters/brazil_2026_election_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops candidates authored/retweeted/quoted/ancestored by any of 665 hardcoded Brazil 2026 electoral-court-reported user IDs unless the viewer follows that user,Brazil2026ElectionFilter::should_remove/is_excluded_author; BRAZIL_2026_ELECTION_USER_IDS (665 entries),PhoenixCandidatePipeline::filters (L368),ForYou,unconditional (no enable() override) -- carries forward S00-F001,n/a,,,"S02 confirms exact predicate (author+retweeted+quoted+ANY ancestor user, follow-exempted) beyond S00/S01's position-only finding; full 665-ID list not individually verified, count confirmed via file's own test assertion"
home-mixer/filters/core_data_hydration_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops candidates with author_id==0 (failed core-data hydration),CoreDataHydrationFilter::filter,PhoenixCandidatePipeline::filters (L347),ForYou,unconditional,n/a,,,"data-quality guard, not a policy filter"
home-mixer/filters/dedup_conversation_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,post-selection filter: keeps only the highest-scored candidate per conversation_id (min ancestor id),DedupConversationFilter::filter; get_conversation_id,PhoenixCandidatePipeline::post_selection_filters (L431),ForYou,unconditional,n/a,,,S02-F010: distinct mechanism from InvalidConversationModuleFilter despite similar naming
home-mixer/filters/drop_duplicates_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: exact tweet_id dedup, order-preserving keep-first",DropDuplicatesFilter::filter,"PhoenixCandidatePipeline::filters (L346, first filter)",ForYou,unconditional,n/a,,,runs first in the 18-filter sequence
home-mixer/filters/following_retweet_deduplication_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter (ReverseChronPostsPipeline): keeps native tweets over retweets of the same source,FollowingRetweetDeduplicationFilter::filter,ReverseChronPostsPipeline::filters (confirmed),Following,unconditional,n/a,,,distinct algorithm from RetweetDeduplicationFilter (used on PhoenixCandidatePipeline)
home-mixer/filters/ineligible_subscription_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops subscriber-only candidates whose author the viewer is not subscribed to,IneligibleSubscriptionFilter::filter,PhoenixCandidatePipeline::filters (L353),ForYou,unconditional,n/a,,,monetization/subscription-access gate (L08)
home-mixer/filters/invalid_conversation_module_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-selection filter (FollowingCandidatePipeline): collapses each reply thread to one focal reply plus ancestors,InvalidConversationModuleFilter::filter (delegates to util::conversation_grouping::select_conversation_modules),FollowingCandidatePipeline::filters (confirmed at following_candidate_pipeline.rs L184-185),Following,unconditional,n/a,home-mixer/util/conversation_grouping.rs,,S02-F010: name implies invalidity-removal; actual behavior is thread-collapse-to-one-representative
home-mixer/filters/inventory_holdout_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: deterministically holds out a configurable percent of originals/replies/retweets per (post,viewer) pair for experimentation",InventoryHoldoutFilter::enable/filter/holdout_bucket,PhoenixCandidatePipeline::filters (L372),ForYou,gated on EnableInventoryHoldout param AND at least one of 3 percent params > 0,"n/a (deterministic hash, no external call)",,,"hash-bucket determinism verified via own unit tests; used for controlled experimentation, not a content-safety filter"
home-mixer/filters/muted_keyword_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops candidates whose tweet text matches any of the viewer's muted keywords/hashtags/mentions,MutedKeywordFilter::filter,PhoenixCandidatePipeline::filters (L357),ForYou,unconditional (early-returns kept=all if muted_keywords empty),"n/a (in-process tokenizer, no external call)",,,runs tokenization inside tokio::task::block_in_place
home-mixer/filters/new_user_min_engagement_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: for new/resurrected accounts, drops OON candidates below a configurable engagement/view/fav threshold",NewUserMinEngagementFilter::enable/filter; within_account_age; within_resurrection_window; metric_value,PhoenixCandidatePipeline::filters (L371),ForYou,gated on EnableNewUserMinEngagementFilter param AND (within account-age window OR within resurrection window),candidates missing the configured metric are kept by default (all-None short-circuit),,,cold-start/new-user lens (L09); only applies to in_network==Some(false) candidates
home-mixer/filters/oon_nsfw_simclusters_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops OON SimClusters-sourced candidates flagged nsfw_author,OONNsfwSimclustersFilter::enable/filter,PhoenixCandidatePipeline::filters (L351),ForYou,gated on EnableSimclustersSource param,n/a,,,narrowly scoped: only ServedType::ForYouSimclusters AND in_network==false AND nsfw_author==true
home-mixer/filters/oon_retweet_reply_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: drops OON retweets/replies, plus any reply (regardless of network) missing ancestor data",OONRetweetReplyFilter::filter,PhoenixCandidatePipeline::filters (L350),ForYou,unconditional,n/a,,,S02-F008: broader than the name implies (also drops in-network replies with empty ancestors)
home-mixer/filters/popular_topics_author_dedup_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"intended one-per-author dedup for Popular Topics candidates; module-tree absent (not in filters/mod.rs), and its predicate could never match given PopularTopicsSource's absence even if restored",PopularTopicsAuthorDedupFilter::filter,"none -- not declared in filters/mod.rs, not part of the compiled crate",n/a (dormant),n/a (unreachable),n/a,,,corroborates S01-F002 at the filter-semantics level; double-dormant (module absence + source dependency also absent)
home-mixer/filters/previously_seen_posts_backup_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: intended second-record seen-post dedup via impressed_post_ids; confirmed permanent no-op,PreviouslySeenPostsBackupFilter::filter,PhoenixCandidatePipeline::filters (L355),ForYou,unconditional (no enable() override) but sole data dependency always empty (S01-F001),n/a,home-mixer/util/candidates_util.rs (related_post_ids_iter),,"S02-F014: carry-forward of S01-F001, confirmed at filter level"
home-mixer/filters/previously_seen_posts_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: active same-request seen-post suppression using client-supplied seen_ids + bloom filters,PreviouslySeenPostsFilter::filter,PhoenixCandidatePipeline::filters (L354),ForYou,unconditional,"n/a (in-process bloom-filter check, no external call)",home-mixer/util/candidates_util.rs,,"S02-F014: seen_ids populated directly from client-supplied proto_query.seen_ids (server.rs L116), not a query hydrator"
home-mixer/filters/previously_served_posts_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: active cross-request served-post suppression using server-persisted served_history,PreviouslyServedPostsFilter::enable/filter,PhoenixCandidatePipeline::filters (L356),ForYou,gated on EnableServedFilterAllRequests param OR (is_bottom_request AND request_context!=ForegroundTruncate),n/a,home-mixer/util/candidates_util.rs,,"S02-F014: served_ids written by UpdateServedHistorySideEffect (S01-primary, read as supporting context)"
home-mixer/filters/push_to_home_dedup_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-selection filter: removes any organic FeedItem duplicating the pinned push-to-home post,PushToHomeDedupFilter::enable/filter,ForYouCandidatePipeline::filters (confirmed at for_you_candidate_pipeline.rs L212),ForYou,gated on query.push_to_home_post_id.is_some(),n/a,,,pairs with BlenderSelector::pin_push_to_home and PushToHomeSource
home-mixer/filters/result_size_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,post-selection filter (PhoenixScoresPipeline): truncates scored seed-candidate results to a param-controlled limit,ResultSizeFilter::filter,PhoenixScoresPipeline::post_selection_filters (confirmed at phoenix_scores_pipeline.rs L184),PhoenixScores,unconditional; limit itself is param-controlled (PhoenixScoresResultSize),n/a,,,"operates on the debug/programmatic PhoenixScoresService endpoint, not a normal feed surface"
home-mixer/filters/retweet_deduplication_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter (PhoenixCandidatePipeline): dedups by canonical id (retweeted_tweet_id or own tweet_id), keep-first",RetweetDeduplicationFilter::filter,PhoenixCandidatePipeline::filters (L352),ForYou,unconditional,n/a,,,"order-dependent: which of retweet vs. original survives depends on candidate list order, itself a function of concurrent multi-source concatenation order (S01 territory)"
home-mixer/filters/self_reply_chain_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter (ReverseChronPostsPipeline): drops self-reply-chain candidates whose effective directed-at user is not followed/viewer,SelfReplyChainFilter::filter/should_keep,ReverseChronPostsPipeline::filters (confirmed),Following,unconditional,n/a,,,
home-mixer/filters/self_tweet_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops the viewer's own tweets from their own For You feed,SelfTweetFilter::filter,PhoenixCandidatePipeline::filters (L349),ForYou,unconditional,n/a,,,single-line predicate: author_id != viewer_id
home-mixer/filters/topic_ids_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"pre-scoring filter: topic-request inclusion filtering (bulk vs. category/supertopic expansion) and excluded-topic exclusion filtering, with a large embedded topic-ID taxonomy","TopicIdsFilter::enable/filter; TopicIdExpansion::{category_ids,expand,supertopic,expand_supertopic}; TopicFilteringOverrideMap",PhoenixCandidatePipeline::filters (L370),ForYou,enabled when query.is_topic_request() OR query.has_excluded_topics(),n/a,,,"S02-F009: excluded-topics mode fails closed on missing topic-classification data; ~1500-line file dominated by a hardcoded topic-ID/category/supertopic taxonomy, not control-flow complexity"
home-mixer/filters/vf_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,post-selection filter: drops candidates whose upstream visibility-filtering result is Action::Drop or any non-Allow FilteredReason,VFFilter::filter/should_drop,PhoenixCandidatePipeline::post_selection_filters (L429),ForYou,unconditional,n/a,,,deep VF policy semantics are S14 territory; this file only consumes the visibility_reason field VFCandidateHydrator (S01-primary) already computed
home-mixer/filters/video_filter.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,pre-scoring filter: drops video candidates when the client requests exclude_videos,VideoFilter::enable/filter,PhoenixCandidatePipeline::filters,ForYou,gated on query.exclude_videos (client-supplied),n/a,,,"client/product-driven, not a param feature-switch"
home-mixer/frames/mod.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,module re-exports for the frames subsystem,re-exports of catalog/placement/plan/served items,used by home-mixer/selectors/blender_selector.rs,ForYou,n/a,n/a,,,
home-mixer/frames/catalog.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"declares the eligible Jetfuel frame catalog: 4 sports topic timelines (soccer/NFL/MLB/baseball), each with pinned and/or recurring FrameDef entries and per-frame enable gates",TIMELINES; FrameDef; Cadence; eligible_in; placement_in,consumed by home-mixer/sources/jetfuel_frame_source.rs (not S02-tagged) and frames::plan,ForYou,each timeline/frame individually param-gated (EnableJetfuelFrame*),n/a,,,Cadence::FirstResponseOnly checks query.is_bottom_request to suppress on scroll-down
home-mixer/frames/placement.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Placement enum (Pinned{rank} / EveryNItems{first_slot,interval,rotating}) and slot-computation logic",Placement::occurrences/recurring_slots,used by frames/catalog.rs and frames/plan.rs,ForYou,n/a,n/a,,,"interval==0 yields no slots (guarded, not a panic)"
home-mixer/frames/plan.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"computes final frame insertion slots: pinned frames sorted by rank, recurring frames deduped by (route,occurrence) and slotted, capped at MAX_JETFUEL_FRAMES_PER_RESPONSE=8",plan/plan_in,called from BlenderSelector::insert_frames,ForYou,n/a (called only when frames non-empty),n/a,,,"unknown routes (not in catalog) are silently dropped, not errored"
home-mixer/frames/served.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,computes resume_index for recurring frame occurrence continuation from served_history entries,resume_index; split_fetch_route; FRAME_ENTITY_TYPE,"role inferred as the JetfuelFrameSource's resumption mechanism (JetfuelFrameSource itself not S02-tagged, not independently opened)",ForYou,n/a,n/a,,does JetfuelFrameSource actually call resume_index -- not independently confirmed this pass,"parses fetch_route strings of the form ""route?i=N"" out of served-history impression IDs"
home-mixer/query_hydrators/blocked_user_ids_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query hydrator: fetches viewer's blocked_user_ids via SocialGraphClient,BlockedUserIdsQueryHydrator::hydrate/update,PhoenixCandidatePipeline query_hydrators (S01-primary construction site),ForYou,unconditional (no enable() override),propagates client error as the whole hydrator's Err (framework absorbs per S01-F004),,,feeds AuthorSocialgraphFilter and Brazil2026ElectionFilter-adjacent social-graph filters
home-mixer/query_hydrators/muted_user_ids_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query hydrator: fetches viewer's muted_user_ids via SocialGraphClient,MutedUserIdsQueryHydrator::hydrate/update,PhoenixCandidatePipeline query_hydrators,ForYou,unconditional,propagates client error as the hydrator's Err,,,feeds AuthorSocialgraphFilter
home-mixer/query_hydrators/followed_user_ids_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"query hydrator: fetches viewer's followed_user_ids via SocialGraphClient, skipped if already populated",FollowedUserIdsQueryHydrator::enable/hydrate/update,PhoenixCandidatePipeline / FollowingCandidatePipeline query_hydrators,ForYou;Following,enable() gated on user_features.followed_user_ids.is_empty(),propagates client error as the hydrator's Err,,,"feeds SelfReplyChainFilter, Brazil2026ElectionFilter, FollowingWTF-eligibility-adjacent logic"
home-mixer/query_hydrators/followed_grok_topics_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"query hydrator: fetches viewer's followed Grok topic IDs as a bool array via a minhash-store client, 300ms timeout",FollowedGrokTopicsQueryHydrator::enable/hydrate/update,PhoenixCandidatePipeline query_hydrators,ForYou,gated on EnableContextFeatures param OR query.is_shadow_traffic,300ms timeout -> Err for the whole hydrator (framework absorbs),,,"content-personalization signal, not itself a filter/selector; included in S02 scope via D07/D08 domain tag"
home-mixer/query_hydrators/followed_starter_packs_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"query hydrator: fetches viewer's followed starter-pack IDs as a bool array, 300ms timeout",FollowedStarterPacksQueryHydrator::enable/hydrate/update,PhoenixCandidatePipeline query_hydrators,ForYou,gated on EnableContextFeatures param OR query.is_shadow_traffic,300ms timeout -> Err for the whole hydrator,,,structurally identical pattern to followed_grok_topics_query_hydrator.rs
home-mixer/query_hydrators/mutual_follow_query_hydrator.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query hydrator: fetches viewer's minhash signature via StratoClient for mutual-follow Jaccard comparison,MutualFollowQueryHydrator::enable/hydrate/update,PhoenixCandidatePipeline query_hydrators,ForYou,gated on EnableMutualFollowJaccardHydration param,propagates client error as the hydrator's Err,,,"populates query.viewer_minhash, the direct upstream dependency of MutualFollowJaccardHydrator (also S02-tagged, reviewed above)"
home-mixer/selectors/mod.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,module re-exports for all 4 selector implementations,pub use declarations,n/a,all,n/a,n/a,,,
home-mixer/selectors/blender_selector.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"ForYou/RankedFollowing selector: partitions FeedItems by type, dispatches to one of 3 param-selected ad blenders, then inserts prompts/WTF/push-to-home/frames/survey at fixed slots",BlenderSelector::select; partition_feed_items; insert_prompts; insert_who_to_follow; pin_push_to_home; insert_frames; insert_feed_survey; build_non_selected_placeholders,ForYouCandidatePipeline::selector; RankedFollowingCandidatePipeline::selector,ForYou;RankedFollowing,AdsBlenderType param selects the ad-blending strategy,no fallibility at Selector trait level,"home-mixer/ads/{mod,partition_organic_blender,safe_gap_blender,time_gap_blender}.rs; home-mixer/frames/{mod,plan}.rs",,"central file for this pass; S02-F003 (insertion-order interaction), S02-F004 (position staleness), S02-F011 (RankedFollowing reuse)"
home-mixer/selectors/following_blender_selector.rs,S02,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Following selector: blends posts+ads via FollowingAdBlender, always inserts prompts, conditionally inserts WTF",FollowingBlenderSelector::select; partition_feed_items; insert_prompts; insert_who_to_follow,FollowingCandidatePipeline::selector,Following,insert_who_to_follow gated on input_post_count > FOLLOWING_WHO_TO_FOLLOW_MIN_POSTS(10),no fallibility at Selector trait level,home-mixer/ads/following_ad_blender.rs,,distinct selector type from BlenderSelector; no PTH/frame/survey handling since FollowingCandidatePipeline has no such sources
