path,specialist_pass,review_treatment,review_result,role,material_symbols_or_sections,callers_or_registration,downstream_consumers,config_or_reachability,failure_or_fallback,supporting_files_examined,open_questions,notes
candidate-pipeline/util.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,short_type_name() helper used by every trait's default name().,see role,candidate-pipeline/lib.rs; consumed by all home-mixer pipelines,All 6 home-mixer pipelines,trait-level enable() defaults to true unless overridden,see candidate_pipeline.rs row for the composed behavior,candidate-pipeline/candidate_pipeline.rs,,
home-mixer/candidate_hydrators/bidirectional_follow_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Sets is_mutual_follow_author/author_follows_viewer; the S00-carried-forward component whose failure semantics S01-F004/S00-F008 resolve, and whose author_follows_viewer output feeds the Phoenix model (S00-F007).",BidirectionalFollowHydrator,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/candidate_hydrators/broadcast_liveness_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Not declared in candidate_hydrators/mod.rs (absent from the compiled crate) and independently hardcodes enable()->false (S01-F002).,BroadcastLivenessHydrator,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/candidate_pipeline/following_candidate_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructs and implements the plain (unranked) Following surface: composes ReverseChronPostsPipeline via ReverseChronPostsSource, plus ads/WTF/prompts, FollowingBlenderSelector.",FollowingCandidatePipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/for_you_candidate_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructs and implements the Blending Pipeline: 2 query hydrators, 7 sources (one of which -- ScoredPostsSource -- awaits PhoenixCandidatePipeline's full execution), 1 pre-selection filter, BlenderSelector, 1 post-selection filter, 9 side effects. Zero scorers/hydrators of its own.",ForYouCandidatePipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/mod.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Declares all 6 pipeline submodules; hosts shared xDS client-building helpers (build_phoenix_xds_client, build_phoenix_xds_retrieval_client, build_vm_ranker_xds_client) used by multiple pipelines' prod() constructors.",(module),home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/phoenix_candidate_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructs and implements the Post Pipeline: 17 query hydrators, 7 sources, 12 hydrators, 18 pre-scoring filters, 3 scorers, TopKScoreSelector, 6 post-selection hydrators, 3 post-selection filters, 8 side effects. Central orchestration file for the ranked For You / Scored Posts surfaces.",PhoenixCandidatePipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/phoenix_scores_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructs and implements a bulk/raw Phoenix-scoring pipeline: takes explicit seed_candidate_post_ids (not retrieval), RESULT_SIZE=2800, PassthroughSelector -- a distinct API surface from feed ranking (S01-F009).",PhoenixScoresPipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/ranked_following_candidate_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Constructs and implements the Ranked Following surface: reuses PhoenixCandidatePipeline via ScoredPostsSource (server layer forces in_network_only=true first) plus AdsSource only.,RankedFollowingCandidatePipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/candidate_pipeline/reverse_chron_posts_pipeline.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructs and implements a genuinely unranked (PassthroughSelector, zero scorers) reverse-chronological posts pipeline consumed as a Source by FollowingCandidatePipeline.",ReverseChronPostsPipeline,home-mixer/server.rs (HomeMixerServer::build) constructs and wires all 6 pipelines at boot,Corresponding *_server.rs / server.rs gRPC handlers,Component-level enable() gates recorded per-component in S01_pipeline_inventory.csv,Boot-time client construction is fail-hard (.expect()) except ThunderCapiClient (graceful fallback) -- S01-F013,home-mixer/server.rs; home-mixer/scored_posts_server.rs; relevant sources/*.rs,,
home-mixer/config.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Small config surface distinct from params/config.rs; not deep-read symbol-by-symbol beyond confirming it is a real, referenced module (not orphaned).",(module-level),home-mixer/lib.rs,TRIAGED-depth: not individually traced further,UNKNOWN (not deep-read),UNKNOWN (not deep-read),,Exact contents not deep-read in S01; confirm no additional config surface duplicates params/config.rs.,
home-mixer/dark_traffic_setup.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Configures an optional shadow/dark-traffic-mirroring gRPC layer, gated by DARK_TRAFFIC_K8S_DISCOVERY env var and pod-ordinal-based enablement (should_enable, unit-tested).",resolve_layer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/filters/brazil_2026_election_filter.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,S00-carried-forward: confirmed constructed unconditionally (no local enable() override) between AuthorSocialgraphFilter and VideoFilter in PhoenixCandidatePipeline's pre-scoring filters; S01 did not re-derive the exclusion-list semantics beyond S00's prior read.,Brazil2026ElectionFilter,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/filters/popular_topics_author_dedup_filter.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Not declared in filters/mod.rs (absent from the compiled crate); companion dedup filter for the dormant PopularTopicsSource (S01-F002).,PopularTopicsAuthorDedupFilter,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/filters/previously_seen_posts_backup_filter.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Constructed and unconditionally enabled in PhoenixCandidatePipeline, but its sole data dependency (query.impressed_post_ids) is always empty due to S01-F001, making it a permanent no-op under current wiring.",PreviouslySeenPostsBackupFilter,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/following_feed_server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Thin server wrapping FollowingCandidatePipeline::execute plus URT timeline serialization; implements the TEST_USER_IDS bypass.,FollowingFeedServer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/for_you_server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Thin server wrapping ForYouCandidatePipeline::execute plus URT timeline serialization; implements the TEST_USER_IDS bypass.,ForYouFeedServer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/lib.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Crate root; declares all home-mixer submodules and re-exports the public server/config types used by main.rs.,"mod declarations; pub use HomeMixerServer, HomeMixerConfig, PhoenixXdsConfig, VmRankerXdsConfig, *FeedServer, ScoredPostsServer, PhoenixScoresServer",home-mixer/main.rs,crate-external callers of the home-mixer library,N/A,N/A,,,
home-mixer/main.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Process entry point: CLI arg parsing (clap), xDS/decider/feature-switch/TLS bootstrap, dark-traffic layer, XServiceBuilder::run::<HomeMixerServer>.",main,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/models/query.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,The single shared query struct used by all 6 pipelines (generic over PipelineQuery); RequestType enum (ForYou/RankedFollowing/Following/ScoredPosts/PhoenixScores) distinguishes surfaces; has_cached_posts/in_network_only/seed_candidate_post_ids/topic_ids are the primary request-mode discriminators.,"ScoredPostsQuery, RequestType",home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/phoenix_scores_server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Thin server wrapping PhoenixScoresPipeline::execute; implements the TEST_USER_IDS bypass and PhoenixScore proto conversion; build_query_builder_input adapts PhoenixScoresQuery to the shared ScoredPostsQuery proto.,PhoenixScoresServer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/query_hydrators/impressed_posts_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Module-declared and unit-tested, but constructed-and-discarded in PhoenixCandidatePipeline (S01-F001) -- never reaches any pipeline's active query_hydrators Vec.",ImpressedPostsQueryHydrator,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/ranked_following_feed_server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Thin server wrapping RankedFollowingCandidatePipeline::execute plus URT timeline serialization; implements the TEST_USER_IDS bypass.,RankedFollowingFeedServer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/scored_posts_server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Thin server wrapping PhoenixCandidatePipeline::execute; implements the TEST_USER_IDS bypass (S01-F010) and ScoredPost proto conversion.,ScoredPostsServer,home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/scorers/phoenix_scorer.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Builds and dispatches the Phoenix PredictNextActionsRequest; gated by !has_cached_posts and a decider kill-switch; XDS-with-fallback dispatch mirrors VMRanker's pattern.,PhoenixScorer,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/scorers/vm_ranker.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,DPP-reranking scorer; xDS-with-DNS-fallback dispatch; whole-call failure degrades gracefully to the prior scorer's score rather than failing the request (S01-F012).,VMRanker,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/server.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Master orchestration file: implements all 5 gRPC services, QueryBuilder::build (shared query construction for every endpoint, including the in_network_only account-override at S01-F008 and the debug fs_overrides mechanism at S01-F011), and HomeMixerServer::build (boot-time wiring of all 6 pipelines).","HomeMixerServer, QueryBuilder",home-mixer/lib.rs; home-mixer/main.rs (XServiceBuilder),gRPC clients of home-mixer's 5 registered services,see role,see role,home-mixer/server.rs and sibling *_server.rs files cross-read together,,
home-mixer/sources/popular_topics_source.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,Not declared in sources/mod.rs (absent from the compiled crate) and independently hardcodes enable()->false (S01-F002); queries Strato for popular tweets across 22 Grok topic categories.,PopularTopicsSource,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/sources/reverse_chron_posts_source.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"Same peer-source composition pattern as ScoredPostsSource, wrapping ReverseChronPostsPipeline instead.",ReverseChronPostsSource,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/sources/scored_posts_source.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,The concrete mechanism behind 'the Blending Pipeline wraps the Post Pipeline' (S01-F006/S00-C044): awaits ScoredPostsServer::run_pipeline -> PhoenixCandidatePipeline::execute synchronously in-process.,ScoredPostsSource,see S01_pipeline_inventory.csv for exact construction site(s),see S01_pipeline_inventory.csv,see S01_pipeline_inventory.csv enable_or_gate column,framework default unless noted otherwise in role,,,
home-mixer/query_hydrators/scoring_sequence_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's recent action sequence used as the primary Phoenix ranking model input.,ScoringSequenceQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients); PhoenixScoresPipeline (PhoenixScoresPipeline::build_with_clients),S17,enable()=enable() present (checked); checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients, PhoenixScoresPipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/retrieval_sequence_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,"query_hydrator: Hydrates the action sequence used for Phoenix retrieval (candidate discovery), distinct from the scoring sequence.",RetrievalSequenceQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/blocked_user_ids_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's blocked-user-id list from SocialGraph.,BlockedUserIdsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=no enable() override; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/muted_user_ids_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's muted-user-id list from SocialGraph.,MutedUserIdsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=no enable() override; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/followed_user_ids_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's followed-user-id list from SocialGraph; feeds in-network eligibility and mutual-follow checks.,FollowedUserIdsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients); FollowingCandidatePipeline (FollowingCandidatePipeline::build); PhoenixScoresPipeline (PhoenixScoresPipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); FollowingCandidatePipeline::build, PhoenixCandidatePipeline::build_with_clients, PhoenixScoresPipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/subscribed_user_ids_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's subscribed-user-id list.,SubscribedUserIdsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=no enable() override; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/cached_posts_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates previously-cached post candidates from Redis for the cached-post request path.,CachedPostsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/mutual_follow_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates viewer-level mutual-follow context via Strato.,MutualFollowQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/user_demographics_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates viewer demographic attributes.,UserDemographicsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients); PhoenixScoresPipeline (PhoenixScoresPipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients, PhoenixScoresPipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
home-mixer/query_hydrators/followed_grok_topics_query_hydrator.rs,S01,FULL_SOURCE_REVIEW,COMPONENT_REVIEWED,query_hydrator: Hydrates the viewer's followed Grok topic bitset (32 topics).,FollowedGrokTopicsQueryHydrator,Constructed in: PhoenixCandidatePipeline (PhoenixCandidatePipeline::build_with_clients); PhoenixScoresPipeline (PhoenixScoresPipeline::build_with_clients),S17,enable()=enable() present; checked-in default per param.rs (S17 census); confirmed via direct grep of this file plus pipeline-construction-site cross-check,Err silently skips that hydrator's field update; query proceeds with field unset/default (candidate_pipeline.rs hydrate_query),"candidate-pipeline/{hydrator,scorer,source,filter,query_hydrator,side_effect}.rs (trait defaults); PhoenixCandidatePipeline::build_with_clients, PhoenixScoresPipeline::build_with_clients",,One of 17 query hydrators; all run concurrently via join_all.
